       true unwei.est unwei.se wei.est wei.se
beta00 -2.5    -3.016    0.025  -2.488  0.031
beta10 -2.5    -3.207    0.025  -2.509  0.033
beta20 -2.5    -3.248    0.024  -2.510  0.033
beta30 -2.5    -3.193    0.023  -2.483  0.035
beta40 -2.5    -3.250    0.024  -2.488  0.072
beta50 -2.5    -3.186    0.024  -2.488  0.047
beta60 -2.5    -3.169    0.026  -2.467  0.052
beta70 -2.5    -3.185    0.028  -2.531  0.054
beta80 -2.5    -3.195    0.030  -2.541  0.064
beta90 -2.5    -3.149    0.032  -2.347  0.092
beta1   0.5     0.431    0.012   0.515  0.017
beta2   0.5     0.401    0.023   0.489  0.036
beta3  -1.0     0.266    0.023  -0.980  0.032
beta4   0.0     0.011    0.002  -0.006  0.005
beta5   0.0     0.016    0.005  -0.006  0.010
beta6   0.0     0.035    0.005  -0.008  0.009
