       true unwei.est unwei.se wei.est wei.se
beta00 -4.1    -4.942    0.057  -4.147  0.073
beta10 -4.1    -5.198    0.057  -4.157  0.081
beta20 -4.1    -5.227    0.054  -4.113  0.089
beta30 -4.1    -5.276    0.052  -4.167  0.106
beta40 -4.1    -5.247    0.049  -3.916  0.188
beta50 -4.1    -5.416    0.053  -4.439  0.123
beta60 -4.1    -5.437    0.055  -4.292  0.136
beta70 -4.1    -5.347    0.057  -4.090  0.207
beta80 -4.1    -5.523    0.064  -4.548  0.164
beta90 -4.1    -5.517    0.069  -4.403  0.153
beta1   0.5     0.395    0.025   0.458  0.054
beta2   0.5     0.394    0.050   0.505  0.095
beta3  -1.0     0.655    0.053  -1.038  0.081
beta4   0.0     0.005    0.005   0.008  0.011
beta5   0.0    -0.006    0.010   0.017  0.024
beta6   0.0     0.075    0.010   0.019  0.022
